name,store_view_code,url_key,path,active,is_anchor,include_in_menu,position,page_layout,display_mode,cms_block,custom_layout_update
Self-sealing Laminate,default,selfsealing-laminate,Products/Office Supplies/Laminating,1,1,0,3,2columns-left,PRODUCTS,,
Mailing,default,mailing,Products/Office Supplies,1,1,1,10,1column,PAGE,,
Envelopes,default,envelopes,Products/Office Supplies/Mailing,1,1,0,1,2columns-left,PRODUCTS,,
Padded Envelopes,default,padded-envelopes,Products/Office Supplies/Mailing,1,1,0,2,2columns-left,PRODUCTS,,
Rubber Stamps,default,rubber-stamps,Products/Office Supplies/Mailing,1,1,0,3,2columns-left,PRODUCTS,,
Shipping & Mailing Labels,default,shipping-mailing-labels,Products/Office Supplies/Mailing,1,1,0,4,2columns-left,PRODUCTS,,
Office Paper,default,office-paper,Products/Office Supplies,1,1,1,11,1column,PAGE,,
Card Stock,default,card-stock,Products/Office Supplies/Office Paper,1,1,0,1,2columns-left,PRODUCTS,,
Copy Paper,default,copy-paper,Products/Office Supplies/Office Paper,1,1,0,2,2columns-left,PRODUCTS,,
Easel Pad,default,easel-pad,Products/Office Supplies/Office Paper,1,1,0,3,2columns-left,PRODUCTS,,
Notepads,default,notepads,Products/Office Supplies/Office Paper,1,1,0,4,2columns-left,PRODUCTS,,
Post-It Notes,default,postit-notes,Products/Office Supplies/Office Paper,1,1,0,5,2columns-left,PRODUCTS,,
Writing Paper,default,writing-paper,Products/Office Supplies/Office Paper,1,1,0,6,2columns-left,PRODUCTS,,
Paper Punches,default,paper-punches,Products/Office Supplies,1,1,1,12,1column,PAGE,,
Electric Hole Punches,default,electric-hole-punches,Products/Office Supplies/Paper Punches,1,1,0,1,2columns-left,PRODUCTS,,
Manual 3-Hole Punches,default,manual-3hole-punches,Products/Office Supplies/Paper Punches,1,1,0,2,2columns-left,PRODUCTS,,
Stapler Supplies,default,stapler-supplies,Products/Office Supplies,1,1,1,13,1column,PAGE,,
Staplers,default,staplers,Products/Office Supplies/Stapler Supplies,1,1,0,1,2columns-left,PRODUCTS,,
